avg_xAcc,avg_yAcc,avg_zAcc,avg_xGyro,avg_zGyro,STD_xAcc,STD_yAcc,STD_zAcc,STD_xGyro,STD_zGyro,Vari_xAcc,Vari_yAcc,Vari_zAcc,Vari_xGyro,Vari_zGyro,SumAbsAcc,SumAbsGyro,sumAbs_MinMax_xAcc,sumAbs_MinMax_yAcc,sumAbs_MinMax_zAcc,sumAbs_MinMax_xGyro,sumAbs_MinMax_zGyro,min_xAcc,min_yAcc,min_zAcc,min_xGyro,min_zGyro,max_xAcc,max_yAcc,max_zAcc,max_xGyro,max_zGyro,
-0.110989015,9.674753958,1.657694603,0.004357693,-0.006754987,0.381317917,0.299606078,0.588452612,0.059368124,0.037392921,0.145403354,0.089763802,0.346276477,0.003524574,0.001398231,361.4858213,2.287323793,1.256381273,19.42765331,3.190331221,0.280003168,0.162333079,-0.754920542,9.156183243,0.501863003,-0.109083079,-0.092310466,0.501460731,10.27147007,2.688468218,0.170920089,0.070022613,1
-0.324777324,9.518573884,2.238201064,-0.00221319,-0.004368953,0.347609282,0.42854656,0.66722061,0.066717514,0.032507343,0.120832213,0.183652154,0.445183343,0.004451227,0.001056727,377.1757819,2.484423812,1.551873684,19.23690319,4.341099381,0.314037085,0.142645761,-0.951091886,8.878915787,0.916902661,-0.162839219,-0.082728609,0.600781798,10.3579874,3.42419672,0.151197866,0.059917152,1
-0.355112017,9.426926059,2.21865236,-0.010977558,-0.005399824,0.350180337,0.380680039,0.600594102,0.051276049,0.039736316,0.122626268,0.144917292,0.360713275,0.002629233,0.001578975,374.1961622,2.252225229,1.69999814,19.01570797,5.188091636,0.198531203,0.181496788,-1.175189137,8.623502731,1.169538856,-0.107494831,-0.119991384,0.524809003,10.39220524,4.01855278,0.091036372,0.061505403,1
-0.34535232,9.616812521,2.452052389,0.012361435,-9.33E-04,0.472472099,0.466249233,0.809370253,0.043447015,0.043558483,0.223229884,0.217388347,0.655080207,0.001887643,0.001897341,389.1424634,2.169688586,2.219070733,19.18770695,5.182689786,0.195895754,0.209718756,-1.714028239,8.693288803,0.899702668,-0.093671821,-0.091786861,0.505042493,10.49441814,4.282987118,0.102223933,0.117931895,1
-0.480627186,9.52156999,2.07316579,-0.013358525,0.010140363,0.385906861,0.335287611,0.613336748,0.048282484,0.037161562,0.148924105,0.112417782,0.376181966,0.002331198,0.001380982,376.0270755,2.242538647,1.504621625,18.97925854,4.721547723,0.224623874,0.147969011,-1.121750474,8.852359772,1.02394259,-0.113900185,-0.043877576,0.382871151,10.12689877,3.697605133,0.110723689,0.104091436,1
-0.346809228,9.470198416,1.973263972,0.00324969,0.001828091,0.394762302,0.430205634,0.860219305,0.056792711,0.040938273,0.155837275,0.185076888,0.739977253,0.003225412,0.001675942,367.968087,2.502400694,1.440236747,19.19150925,3.723462507,0.221953519,0.191619702,-1.027208209,8.711619377,-0.076978371,-0.111229829,-0.102433376,0.413028538,10.47988987,3.646484137,0.110723689,0.089186326,1
-0.377045062,9.448164601,2.648053208,-0.0180422,0.002429949,0.377946037,0.370190643,0.791606798,0.060626471,0.03829636,0.142843207,0.137041112,0.626641323,0.003675569,0.001466611,389.0223125,2.725750512,1.531091988,18.59524822,5.114809871,0.217694923,0.158074468,-1.044456124,8.649666786,1.071740508,-0.12561135,-0.063564889,0.486635864,9.945581436,4.043069363,0.092083573,0.094509579,1
-0.274010358,9.21728934,3.456897347,-0.012235321,0.006277555,0.434824817,0.307117044,0.778167412,0.069580045,0.035117324,0.189072622,0.094320879,0.60554452,0.004841383,0.001233226,405.5488528,2.762507113,1.791016042,18.48773861,6.445909023,0.297002673,0.151162967,-1.015802264,8.536497116,1.588112354,-0.164479822,-0.080075704,0.775213778,9.951241493,4.857796669,0.132522851,0.071087264,1
-0.278451529,9.241144919,3.31642067,-0.005565348,-0.012316957,0.284441023,0.31521401,0.475403522,0.047811954,0.026123479,0.080906696,0.099359872,0.226008508,0.002285983,6.82E-04,399.8766349,1.813990495,1.174691141,18.553895,6.510111809,0.207572006,0.11657054,-0.850966334,8.626404762,2.455579281,-0.101682879,-0.05984734,0.323724806,9.927490234,4.054532528,0.105889127,0.0567232,1
-0.258537945,9.117422258,3.937359856,0.002137747,0.00706239,0.240843586,0.257283539,0.56649541,0.058495096,0.031543361,0.058005633,0.066194819,0.32091705,0.003421676,9.95E-04,414.3963903,2.160700131,1.058103055,18.01127243,7.800979853,0.265604198,0.183626086,-0.665367782,8.388161659,2.90557456,-0.165579379,-0.075276047,0.392735273,9.623110771,4.895405293,0.100024819,0.108350039,1
